,generate1_p,generate1_c,score1_p,score1_c,aggregate_p,aggregate_c,score2_p,score2_c,generate2_p,generate2_c,score3_p,score3_c
0,13,6,21,3,26,6,21,3,19,6,21,3
1,13,6,21,5,27,7,22,3,19,7,22,4
2,12,7,21,4,27,8,22,4,20,7,21,4
3,13,6,21,4,27,6,21,3,20,6,21,3
4,18,7,27,4,34,7,27,4,26,7,27,5
5,12,6,21,3,25,7,21,3,18,6,21,5
6,13,9,24,5,32,10,25,6,22,9,24,5
7,16,10,29,4,36,11,29,5,25,10,28,6
8,17,5,24,5,28,5,24,5,22,5,24,5
9,19,11,32,6,42,11,32,5,31,11,32,5
10,15,8,25,5,33,9,26,4,23,8,25,5
11,17,14,36,3,45,11,30,7,28,11,30,6
12,23,14,47,2,51,23,47,2,29,8,32,2
13,17,7,25,4,32,8,26,3,25,8,26,3
14,16,10,27,6,36,10,27,6,26,10,27,6
15,16,9,27,4,35,9,27,4,25,9,27,4
16,19,7,27,5,34,7,28,5,26,7,28,5
17,15,6,23,5,28,6,23,5,21,6,23,4
18,17,14,34,3,44,12,32,4,31,14,32,4
19,17,12,30,4,41,12,31,4,29,12,30,4
20,14,14,30,2,43,14,30,2,28,14,30,2
21,16,10,28,4,37,10,28,4,26,10,28,5
22,17,17,35,3,50,17,35,3,33,17,35,3
23,12,8,22,4,30,8,22,4,21,8,22,4
24,20,10,32,3,41,10,32,3,31,10,32,3
25,15,11,29,3,37,10,27,4,25,10,27,4
26,16,11,28,2,38,11,28,2,27,11,28,2
27,14,10,25,4,34,10,25,4,24,10,25,4
28,14,9,25,3,32,9,25,3,23,9,25,3
29,14,11,26,3,36,11,26,3,25,11,26,3
30,14,5,20,4,25,5,21,3,19,5,21,4
31,13,8,22,6,29,8,22,5,21,8,22,5
32,11,7,21,3,27,7,21,3,19,7,21,3
33,12,5,19,4,23,6,19,4,17,5,19,4
34,10,6,18,2,24,6,18,3,17,6,18,3
35,14,10,26,4,35,10,26,4,25,10,26,4
36,13,6,21,5,26,6,21,5,19,6,21,5
37,13,7,22,4,28,7,22,4,21,7,22,2
38,12,11,25,3,34,11,25,3,23,5,19,3
39,13,7,21,3,28,8,22,3,21,8,22,3
40,17,11,29,5,39,10,29,5,28,11,29,6
41,11,10,22,2,31,10,22,2,21,10,22,2
42,16,9,27,3,35,9,27,3,26,9,27,3
43,16,8,26,5,33,8,26,5,24,8,25,5
44,15,13,30,2,42,13,30,2,28,13,30,2
45,17,8,27,4,34,8,27,4,25,8,27,4
46,13,8,23,3,29,8,23,3,21,8,23,3
47,15,10,26,5,35,10,26,5,25,10,26,4
48,16,11,28,4,38,11,28,4,26,11,28,4
49,10,10,22,3,31,10,22,3,21,10,22,3
50,11,7,18,4,26,5,18,4,17,5,18,4
51,13,5,20,3,24,5,20,4,18,6,21,4
52,22,5,28,2,32,5,28,2,27,7,30,4
53,13,12,27,3,38,12,27,3,25,12,27,3
54,10,7,19,3,24,6,18,3,17,7,19,4
55,18,10,30,5,39,10,30,4,28,10,30,5
56,17,8,28,5,34,9,28,5,25,8,26,4
57,13,7,18,3,29,12,26,4,24,11,26,4
58,15,8,25,5,31,8,25,5,23,8,25,5
59,15,13,29,4,41,13,30,4,28,13,29,4
60,16,6,25,4,30,8,26,6,25,8,26,6
61,16,10,30,4,36,8,26,4,28,12,30,4
62,14,9,29,3,32,13,28,4,18,6,21,3
63,17,10,29,7,38,10,29,7,27,10,29,7
64,15,9,25,5,34,10,27,5,25,10,27,5
65,13,8,22,6,29,8,22,6,21,8,22,6
66,14,9,25,3,32,9,25,3,23,9,25,5
67,13,5,20,4,24,5,20,4,18,5,20,4
68,15,14,31,3,44,14,31,3,30,14,31,3
69,19,9,31,7,38,10,31,7,30,10,31,7
70,14,10,26,4,34,9,26,4,24,10,26,4
71,17,8,27,5,34,8,27,5,25,8,27,6
72,15,15,32,3,46,15,32,3,30,15,32,3
73,16,8,26,5,33,8,26,5,25,8,26,5
74,18,6,26,4,30,6,25,3,24,6,26,3
75,16,5,23,4,27,5,23,5,21,5,23,4
76,16,9,28,6,34,11,29,8,26,10,28,6
77,15,5,21,4,26,5,23,4,21,6,23,4
78,14,10,28,5,34,13,28,5,27,13,28,5
79,13,9,24,7,32,9,24,6,23,9,24,6
80,11,7,19,4,26,8,21,3,19,8,21,4
81,19,13,29,4,46,8,29,4,27,8,29,4
82,16,6,24,5,30,7,25,6,22,7,25,6
83,14,11,30,3,38,13,29,3,28,13,29,3
84,18,14,33,3,45,14,33,3,31,14,33,2
85,13,6,20,3,25,6,21,3,19,7,22,4
86,17,9,27,6,36,10,28,5,27,10,28,6
87,16,9,27,5,35,9,27,5,26,9,27,5
88,16,14,31,3,44,13,31,5,30,13,31,4
89,17,10,30,2,38,12,31,3,29,12,30,2
90,11,10,24,3,31,11,24,3,20,9,22,3
91,16,9,26,3,34,9,26,4,25,9,27,3
92,17,10,30,4,37,12,30,4,25,11,29,4
93,12,12,25,2,36,12,25,2,24,12,25,3
94,15,9,24,3,34,9,25,3,23,8,24,3
95,15,12,31,5,39,9,26,6,25,9,26,6
96,15,8,25,5,31,8,25,5,23,8,25,5
97,15,10,27,4,36,10,27,4,25,10,27,4
98,18,6,26,3,31,6,26,3,24,6,26,3
99,15,4,21,2,25,4,21,2,20,4,21,3
