,extract_claims_p,extract_claims_c,generate_queries_p,generate_queries_c,verifies_p,verifies_c
0,18,5,36,1,14,14
1,19,8,36,2,14,15
2,18,5,36,2,12,14
3,18,5,37,2,16,17
4,19,11,36,2,13,17
5,18,4,37,2,14,18
6,18,5,37,2,18,16
7,21,11,37,2,13,17
8,18,6,37,2,14,19
9,20,7,36,2,13,16
10,18,4,37,2,14,18
11,17,2,37,2,13,12
12,17,3,36,2,12,15
13,17,3,36,2,14,13
14,17,2,37,2,13,13
15,18,4,37,1,14,16
16,18,4,36,2,14,16
17,17,2,37,3,15,21
18,17,2,37,3,16,24
19,18,6,36,1,14,15
20,21,9,36,2,15,17
21,22,11,37,2,12,16
22,17,2,36,2,14,17
23,17,3,36,2,15,15
24,17,3,36,2,13,16
25,17,2,37,2,16,13
26,18,7,36,1,13,16
27,18,4,36,1,14,16
28,19,6,37,2,17,18
29,20,8,36,2,15,17
30,19,12,37,3,18,18
31,20,12,36,2,16,18
32,17,2,36,2,12,15
33,19,7,36,2,17,20
34,18,5,36,1,12,12
35,17,3,36,2,12,12
36,17,2,36,1,11,11
37,17,1,37,3,11,15
38,17,3,36,2,14,15
39,17,3,37,2,13,12
40,17,1,36,2,13,22
41,18,3,37,1,11,16
42,18,4,37,2,15,21
43,17,2,37,3,12,14
44,18,3,37,2,15,19
45,17,3,36,1,17,18
46,18,6,37,2,14,19
47,17,2,36,2,13,12
48,17,2,36,2,16,22
49,18,4,36,1,13,15
