,extract_claims_p,extract_claims_c,generate_queries_p,generate_queries_c
0,18,3,27,3
1,18,3,26,3
2,27,4,27,3
3,21,6,27,3
4,22,7,27,3
5,20,6,27,3
6,20,6,26,3
7,21,3,26,2
8,19,3,26,3
9,21,3,27,3
10,19,1,26,3
11,19,1,25,2
12,25,10,27,2
13,20,7,26,2
14,20,4,26,3
15,19,3,25,2
16,22,3,26,3
17,19,5,25,3
18,21,6,27,3
19,18,3,26,3
20,19,3,26,3
21,23,1,25,2
22,24,1,25,2
23,18,2,25,2
24,20,3,26,3
25,20,4,26,3
26,22,7,27,2
27,25,12,27,4
28,19,5,27,3
29,19,5,26,3
30,21,3,25,2
31,20,3,26,3
32,22,3,26,3
33,22,7,27,3
34,18,3,26,3
35,21,4,27,3
36,20,6,27,3
37,20,6,27,3
38,20,2,25,2
39,19,3,25,2
40,20,3,27,3
41,22,5,27,3
42,20,3,26,3
43,23,9,27,3
44,19,1,25,2
45,20,5,27,3
46,20,6,27,4
47,22,8,26,2
48,21,4,26,2
49,20,5,26,4
50,18,1,26,3
51,19,3,27,3
52,21,4,26,3
53,18,3,26,3
54,20,3,26,2
55,22,5,27,3
56,21,7,26,3
57,21,6,27,3
58,21,4,26,2
59,24,1,26,3
60,18,2,25,2
61,21,4,25,2
62,20,5,26,3
63,20,3,25,2
64,20,7,27,3
65,21,3,26,3
66,20,4,26,3
67,22,6,26,3
68,19,3,26,3
69,18,3,26,3
70,25,3,26,3
71,28,15,26,3
72,20,4,26,2
73,19,2,26,2
74,19,3,26,3
75,21,7,26,2
76,18,4,25,2
77,22,1,26,4
78,19,3,27,3
79,19,3,26,3
80,23,7,25,2
81,20,5,27,3
82,19,3,27,3
83,22,9,27,3
84,20,3,25,2
85,19,3,26,2
86,21,5,26,3
87,19,3,27,3
88,24,14,27,2
89,21,6,26,2
90,19,3,26,3
91,20,4,26,2
92,18,4,26,3
93,20,4,26,3
94,22,3,26,2
95,20,3,27,4
96,20,6,26,2
97,20,3,27,3
98,19,4,26,2
99,18,2,25,2
